t,body,x,y
996060,Earth,1.46676e+11,2.94877e+10
996060,Moon,1.46344e+11,2.96476e+10
1.00206e+06,Sun,9021.08,601.027
1.00206e+06,Earth,1.46641e+11,2.96631e+10
1.00206e+06,Moon,1.46307e+11,2.98172e+10
1.00806e+06,Sun,9129.07,611.873
1.00806e+06,Earth,1.46605e+11,2.98384e+10
1.00806e+06,Moon,1.46269e+11,2.99866e+10
1.01406e+06,Sun,9237.69,622.849
1.01406e+06,Earth,1.4657e+11,3.00136e+10
1.01406e+06,Moon,1.46231e+11,3.0156e+10
1.02006e+06,Sun,9346.95,633.955
1.02006e+06,Earth,1.46534e+11,3.01889e+10
1.02006e+06,Moon,1.46192e+11,3.03253e+10
1.02606e+06,Sun,9456.85,645.192
1.02606e+06,Earth,1.46497e+11,3.0364e+10
1.02606e+06,Moon,1.46154e+11,3.04945e+10
1.03206e+06,Sun,9567.38,656.561
1.03206e+06,Earth,1.46461e+11,3.05392e+10
1.03206e+06,Moon,1.46116e+11,3.06636e+10
1.03806e+06,Sun,9678.55,668.062
1.03806e+06,Earth,1.46425e+11,3.07143e+10
1.03806e+06,Moon,1.46077e+11,3.08326e+10
1.04406e+06,Sun,9790.35,679.696
1.04406e+06,Earth,1.46388e+11,3.08893e+10
1.04406e+06,Moon,1.46038e+11,3.10016e+10
1.05006e+06,Sun,9902.79,691.464
1.05006e+06,Earth,1.46351e+11,3.10643e+10
1.05006e+06,Moon,1.46e+11,3.11705e+10
1.05606e+06,Sun,10015.9,703.367
1.05606e+06,Earth,1.46314e+11,3.12393e+10
1.05606e+06,Moon,1.45961e+11,3.13393e+10
1.06206e+06,Sun,10129.6,715.406
1.06206e+06,Earth,1.46276e+11,3.14142e+10
1.06206e+06,Moon,1.45922e+11,3.1508e+10
1.06806e+06,Sun,10243.9,727.581
1.06806e+06,Earth,1.46239e+11,3.15891e+10
1.06806e+06,Moon,1.45883e+11,3.16767e+10
1.07406e+06,Sun,10358.9,739.893
1.07406e+06,Earth,1.46201e+11,3.17639e+10
1.07406e+06,Moon,1.45844e+11,3.18453e+10
